codigo_pcd,nom_es,label_value
10101,Carmen,1831.21
10102,Merced,7091.74
10111,San Sebastián,10702.44
10201,Escazú,2870.54
10202,San Antonio,2792.41
10203,San Rafael,2281.75
10301,Desamparados,10631.8
10302,San Miguel,1819.98
10303,San Juan de Dios,8658.18
10304,San Rafael Arriba,5655.96
10305,San Antonio,5481.84
10306,Frailes,226.8
10307,Patarrá,1292.13
10308,San Cristobal,185.22
10309,Rosario,251.88
10310,Damas,5926.66
10311,San Rafael Abajo,12625.79
10103,Hospital,7344.08
10312,Gravilias,5832.48
10313,Los Guido,10277.18
10401,Santiago,358.32
10402,Mercedes Sur,40.97
10403,Barbacoas,252.05
10404,Grifo Alto,59.84
10405,San Rafael,134.27
10406,Candelarita,67.97
10407,Desamparaditos,119.48
10408,San Antonio,334.73
10409,Chires,18.06
10501,San Marcos,237.52
10502,San Lorenzo,32.16
10503,San Carlos,35.02
10601,Aserrí,2180.34
10602,Tarbaca,128.76
10603,Vuelta de Jorco,348.56
10104,Catedral,6683.34
10105,Zapote,7643.94
10106,San Francisco de Dos Ríos,8906.83
10107,Uruca,5331.2
10108,Mata Redonda,2788.29
10109,Pavas,9796.4
10110,Hatillo,13976.91
10604,San Gabriel,583.05
10605,Legua,25.4
10606,Monterrey,84.73
10607,Salitrillos,1107.17
10701,Colón,588.28
10702,Guayabo,518.61
10703,Tabarcia,123.49
10704,Piedras Negras,36.74
10705,Picagres,35.26
10706,Jaris,292.73
10707,Quitirrisí,249.93
10801,Guadalupe,8729.63
10802,San Francisco,4232.49
10803,Calle Blancos,9999.66
10804,Mata de Plátano,2746.66
10805,Ipís,12920.23
10806,Rancho Redondo,321.71
10807,Purral,12242.62
10901,Santa Ana,2259.42
10902,Salitral,995.15
10903,Pozos,1575.37
10904,Uruca,1432.42
10905,Piedades,2209.55
10906,Brasil,1050.04
11003,San Antonio,1323.85
11004,Concepción,9786.94
11005,San Felipe,8262.85
11101,San Isidro,3383.74
11102,San Rafael,868.02
11103,Dulce Nombre de Jesús,810.6
11104,Patalillo,13052.58
11105,Cascajal,380.76
11201,San Ignacio,403.59
11202,Guaitil,61.7
11203,Palmichal,243.08
11204,Cangrejal,42.75
11205,Sabanillas,14.98
11301,San Juan,6943.71
11304,León XIII,29359.8
11305,Colima,9143.79
11401,San Vicente,5552.78
11402,San Jerónimo,526.22
11403,La Trinidad,4909.63
11501,San Pedro,5672.6
11502,Sabanilla,7876.4
11503,Mercedes,4218.98
11504,San Rafael,1828.82
11601,San Pablo,60.04
11602,San Pedro,23.48
11603,San Juan de Mata,33.7
11604,San Luis,19.76
11605,Carara,12.75
11701,Santa María,225.25
11702,Jardín,47.43
11703,Copey,221.5
11001,Alajuelita,9967.32
11002,San Josecito,5620.0
11302,Cinco Esquinas,13479.58
11801,Curridabat,4964.91
11912,La  Amistad,25.85
12001,San Pablo,217.47
12002,San Andrés,108.72
12003,Llano Bonito,64.32
12004,San Isidro,96.02
12005,Santa Cruz,96.39
12006,San Antonio,122.38
20101,Alajuela,4349.02
11303,Anselmo Llorente,9474.57
11802,Granadilla,5524.69
11803,Sánchez,1541.14
11804,Tirrases,13938.3
11901,San Isidro de El General,241.96
11902,El General,96.53
11903,Daniel Flores,529.25
11904,Rivas,33.9
11905,San Pedro,50.53
11906,Platanares,74.54
11907,Pejibaye,24.82
11908,Cajón,87.52
11909,Barú,15.02
11910,Río Nuevo,27.58
11911,Páramo,65.25
20102,San José,3696.21
20103,Carrizal,582.6
20104,San Antonio,3726.62
20105,Guácima,990.92
20106,San Isidro,675.82
20107,Sabanilla,328.16
20108,San Rafael,1831.91
20109,Río Segundo,2576.79
20110,Desamparados,2679.49
20111,Turrúcares,258.18
20112,Tambor,1088.26
20113,Garita,294.51
20114,Sarapiquí,54.56
20201,San Ramón,6874.0
20202,Santiago,97.94
20203,San Juan,2686.72
20204,Piedades Norte,207.44
20205,Piedades Sur,41.32
20206,San Rafael,368.7
20207,San Isidro,708.17
20208,Ángeles,30.43
20209,Alfaro,487.47
20210,Volio,137.62
20211,Concepción,285.45
20212,Zapotal,9.86
20213,Peņas Blancas,136.16
20214,San Lorenzo,15.04
20301,Grecia,2051.71
20302,San Isidro,621.74
20303,San José,859.9
20304,San Roque,832.06
20305,Tacares,420.51
20307,Puente de Piedra,599.3
20308,Bolivar,445.32
20401,San Mateo,47.21
20402,Desmonte,63.15
20403,Jesús María,87.94
20404,Labrador,75.16
20501,Atenas,799.87
20502,Jesús,265.75
20503,Mercedes,512.33
20504,San Isidro,256.49
20505,Concepción,204.34
20506,San José,283.91
20507,Santa Eulalia,235.12
20508,Escobal,58.53
20601,Naranjo,1129.31
20602,San Miguel,422.92
20603,San José,180.31
20604,Cirrí Sur,220.86
20605,San Jerónimo,505.81
20606,San Juan,510.18
20607,El Rosario,410.11
20608,Palmitos,497.97
21301,Upala,122.04
21302,Aguas Claras,17.74
21303,San José O Pizote,33.55
21304,Bijagua,39.43
21305,Delicias,80.41
21306,Dos Ríos,21.51
21307,Yolillal,37.68
21308,Canalete,57.55
21401,Los Chiles,57.13
21402,Caņo Negro,10.48
21403,El Amparo,28.15
21404,San Jorge,15.53
21501,San Rafael,36.28
20701,Palmares,3094.95
20702,Zaragoza,1216.25
20703,Buenos Aires,1336.0
20704,Santiago,443.35
20705,Candelaria,576.38
20706,Esquipulas,1618.88
20707,La Granja,1154.36
20801,San Pedro,591.45
20802,San Juan,548.17
20803,San Rafael,489.81
20804,Carrillos,1169.16
20805,Sabana Redonda,185.96
20901,Orotina,492.59
20902,El Mastate,253.84
20903,Hacienda Vieja,83.02
20904,Coyolar,225.4
20905,La Ceiba,47.24
21001,Quesada,352.63
21002,Florencia,95.15
21003,Buenavista,17.35
21004,Aguas Zarcas,162.39
21005,Venecia,151.63
21006,Pital,120.34
21007,La Fortuna,126.16
21008,La Tigra,158.1
21009,La Palmera,109.67
21010,Venado,12.78
21011,Cutris,25.22
21012,Monterrey,20.2
21013,Pocosol,32.74
21101,Zarcero,404.37
21102,Laguna,90.05
21103,Tapesco,256.6
21104,Guadalupe,66.28
21105,Palmira,108.01
21106,Zapote,22.18
21107,Brisas,178.05
21201,Sarchí Norte,590.59
21202,Sarchí Sur,1075.32
21203,Toro Amarillo,20.06
21204,San Pedro,530.71
21205,Rodríguez,408.16
21502,Buenavista,15.28
21503,Cote,11.9
21504,Katira,62.72
21601,Río Cuarto,72.32
21602,Santa Rita,135.34
21603,Santa Isabel,51.8
30101,Oriental,5658.46
40102,Mercedes,7393.58
40103,San Francisco,9367.99
40104,Ulloa,3201.59
40105,Varablanca,58.91
40308,Pará,1489.05
40401,Santa Bárbara,4832.45
40402,San Pedro,2842.85
40403,San Juan,2222.63
40404,Jesús,1106.6
40405,Santo Domingo,225.77
