ID Servicio RR,ID Ruta,Ruta,Descripción,ID Estado,Estado,ID Condición Legal,Condición Legal,Croquis,Vencimiento Ruta,Recorridos
353,2,555,TILARAN-CAÑAS Y VICEVERSA,ERA,ACTIVO,PER,PERMISO,,2028-02-09T00:00:00,
0,5,171,SANTIAGO-SANTA MARTA-SAN RAMON,ERI,INACTIVO,,,,2025-02-09T00:00:00,
124,11,546,NICOYA-BARRA HONDA-QUEBRADA HONDA-SANZAPOTE-PUERTO MORENO-ROBLAR,ERA,ACTIVO,CLCRR,CONCESIÓN RUTA REFRENDADA,,2028-09-30T00:00:00,
0,14,46 A,SAN JOSE-CALLE CHILE DE PERRO-LA ALONDRA,ERI,INACTIVO,PER,PERMISO,,0001-01-01T00:00:00,
183,17,105,SANTA ANA - BELEN - OJO DE AGUA - SAN VICENTE - ESCOBAL Y VICEVERSA,ERA,ACTIVO,CLCRR,CONCESIÓN RUTA REFRENDADA,,2028-09-30T00:00:00,
187,19,125,SAN JOSE-FRAILES-BUSTAMANTE Y VICEVERSA,ERA,ACTIVO,CLCRR,CONCESIÓN RUTA REFRENDADA,,2028-09-30T00:00:00,
0,22,132,LA GUARIA – SANTA ELENA  ARRIBA – SANTA ELENA ABAJO – LOMA LARGA – RÍO CONEJO – SAN JUAN SUR – CALLE ABARCA – EL ROSARIO – CALLE VALVERDE – LA GUARIA – GUADARRAMA – SAN JUAN NORTE Y VICEVERSA.,ERF,Fusionada,,,,0001-01-01T00:00:00,
192,25,167,SAN ISIDRO DE EL GENERAL-LA ESE Y VICEVERSA,ERA,ACTIVO,PER,PERMISO,,2028-06-02T00:00:00,
0,30,200 MB,SAN JOSE-ALAJUELA Y VICEVERSA,ERF,Fusionada,,,,2021-09-30T00:00:00,
0,32,206,CIUDAD QUESADA-PITALITO-ESQUIPULAS-BUENOS AIRES Y VICEVERSA,ERF,Fusionada,,,,0001-01-01T00:00:00,
