codigo_pcd;id;nom_es;value;source;qualitative_value;notes;label_value
10101;3293;Carmen;1831.21;5;;1;1 831,21
10102;3292;Merced;7091.74;5;;1;7 091,74
10111;3302;San Sebastián;10702.44;5;;1;10 702,44
10201;3303;Escazú;2870.54;5;;1;2 870,54
10202;3304;San Antonio;2792.41;5;;1;2 792,41
10203;3305;San Rafael;2281.75;5;;1;2 281,75
10301;3306;Desamparados;10631.8;5;;1;10 631,8
10302;3307;San Miguel;1819.98;5;;1;1 819,98
10303;3308;San Juan de Dios;8658.18;5;;1;8 658,18
10304;3309;San Rafael Arriba;5655.96;5;;1;5 655,96
10305;3310;San Antonio;5481.84;5;;1;5 481,84
10306;3311;Frailes;226.8;5;;1;226,8
10307;3312;Patarrá;1292.13;5;;1;1 292,13
10308;3314;San Cristobal;185.22;5;;1;185,22
10309;3317;Rosario;251.88;5;;1;251,88
10310;3313;Damas;5926.66;5;;1;5 926,66
10311;3315;San Rafael Abajo;12625.79;5;;1;12 625,79
10103;3295;Hospital;7344.08;5;;1;7 344,08
10312;3316;Gravilias;5832.48;5;;1;5 832,48
10313;3318;Los Guido;10277.18;5;;1;10 277,18
10401;3319;Santiago;358.32;5;;1;358,32
10402;3320;Mercedes Sur;40.97;5;;1;40,97
10403;3321;Barbacoas;252.05;5;;1;252,05
10404;3322;Grifo Alto;59.84;5;;1;59,84
10405;3325;San Rafael;134.27;5;;1;134,27
10406;3323;Candelarita;67.97;5;;1;67,97
10407;3324;Desamparaditos;119.48;5;;1;119,48
10408;3326;San Antonio;334.73;5;;1;334,73
10409;3327;Chires;18.06;5;;1;18,06
10501;3328;San Marcos;237.52;5;;1;237,52
10502;3329;San Lorenzo;32.16;5;;1;32,16
10503;3330;San Carlos;35.02;5;;1;35,02
10601;3331;Aserrí;2180.34;5;;1;2 180,34
10602;3332;Tarbaca;128.76;5;;1;128,76
10603;3333;Vuelta de Jorco;348.56;5;;1;348,56
10104;3294;Catedral;6683.34;5;;1;6 683,34
10105;3296;Zapote;7643.94;5;;1;7 643,94
10106;3297;San Francisco de Dos Ríos;8906.83;5;;1;8 906,83
10107;3298;Uruca;5331.2;5;;1;5 331,2
10108;3299;Mata Redonda;2788.29;5;;1;2 788,29
10109;3300;Pavas;9796.4;5;;1;9 796,4
10110;3301;Hatillo;13976.91;5;;1;13 976,91
10604;3334;San Gabriel;583.05;5;;1;583,05
10605;3337;Legua;25.4;5;;1;25,4
10606;3335;Monterrey;84.73;5;;1;84,73
10607;3336;Salitrillos;1107.17;5;;1;1 107,17
10701;3338;Colón;588.28;5;;1;588,28
10702;3339;Guayabo;518.61;5;;1;518,61
10703;3340;Tabarcia;123.49;5;;1;123,49
10704;3341;Piedras Negras;36.74;5;;1;36,74
10705;3342;Picagres;35.26;5;;1;35,26
10706;3343;Jaris;292.73;5;;1;292,73
10707;3344;Quitirrisí;249.93;5;;1;249,93
10801;3346;Guadalupe;8729.63;5;;1;8 729,63
10802;3345;San Francisco;4232.49;5;;1;4 232,49
10803;3347;Calle Blancos;9999.66;5;;1;9 999,66
10804;3348;Mata de Plátano;2746.66;5;;1;2 746,66
10805;3349;Ipís;12920.23;5;;1;12 920,23
10806;3350;Rancho Redondo;321.71;5;;1;321,71
10807;3351;Purral;12242.62;5;;1;12 242,62
10901;3352;Santa Ana;2259.42;5;;1;2 259,42
10902;3357;Salitral;995.15;5;;1;995,15
10903;3353;Pozos;1575.37;5;;1;1 575,37
10904;3354;Uruca;1432.42;5;;1;1 432,42
10905;3356;Piedades;2209.55;5;;1;2 209,55
10906;3355;Brasil;1050.04;5;;1;1 050,04
11003;3360;San Antonio;1323.85;5;;1;1 323,85
11004;3361;Concepción;9786.94;5;;1;9 786,94
11005;3362;San Felipe;8262.85;5;;1;8 262,85
11101;3363;San Isidro;3383.74;5;;1;3 383,74
11102;3364;San Rafael;868.02;5;;1;868,02
11103;3367;Dulce Nombre de Jesús;810.6;5;;1;810,6
11104;3365;Patalillo;13052.58;5;;1;13 052,58
11105;3366;Cascajal;380.76;5;;1;380,76
11201;3368;San Ignacio;403.59;5;;1;403,59
11202;3369;Guaitil;61.7;5;;1;61,7
11203;3370;Palmichal;243.08;5;;1;243,08
11204;3371;Cangrejal;42.75;5;;1;42,75
11205;3372;Sabanillas;14.98;5;;1;14,98
11301;3373;San Juan;6943.71;5;;1;6 943,71
11304;3376;León XIII;29359.8;5;;1;29 359,8
11305;3375;Colima;9143.79;5;;1;9 143,79
11401;3378;San Vicente;5552.78;5;;1;5 552,78
11402;3379;San Jerónimo;526.22;5;;1;526,22
11403;3380;La Trinidad;4909.63;5;;1;4 909,63
11501;3381;San Pedro;5672.6;5;;1;5 672,6
11502;3382;Sabanilla;7876.4;5;;1;7 876,4
11503;3383;Mercedes;4218.98;5;;1;4 218,98
11504;3384;San Rafael;1828.82;5;;1;1 828,82
11601;3385;San Pablo;60.04;5;;1;60,04
11602;3386;San Pedro;23.48;5;;1;23,48
11603;3387;San Juan de Mata;33.7;5;;1;33,7
11604;3388;San Luis;19.76;5;;1;19,76
11605;3389;Carara;12.75;5;;1;12,75
11701;3390;Santa María;225.25;5;;1;225,25
11702;3391;Jardín;47.43;5;;1;47,43
11703;3392;Copey;221.5;5;;1;221,5
11001;3358;Alajuelita;9967.32;5;;1;9 967,32
11002;3359;San Josecito;5620;5;;1;5 620
11302;3374;Cinco Esquinas;13479.58;5;;1;13 479,58
11801;3393;Curridabat;4964.91;5;;1;4 964,91
11912;3408;La  Amistad;25.85;5;;1;25,85
12001;3409;San Pablo;217.47;5;;1;217,47
12002;3410;San Andrés;108.72;5;;1;108,72
12003;3411;Llano Bonito;64.32;5;;1;64,32
12004;3412;San Isidro;96.02;5;;1;96,02
12005;3413;Santa Cruz;96.39;5;;1;96,39
12006;3414;San Antonio;122.38;5;;1;122,38
20101;3416;Alajuela;4349.02;5;;1;4 349,02
11303;3377;Anselmo Llorente;9474.57;5;;1;9 474,57
11802;3394;Granadilla;5524.69;5;;1;5 524,69
11803;3396;Sánchez;1541.14;5;;1;1 541,14
11804;3395;Tirrases;13938.3;5;;1;13 938,3
11901;3397;San Isidro de El General;241.96;5;;1;241,96
11902;3398;El General;96.53;5;;1;96,53
11903;3399;Daniel Flores;529.25;5;;1;529,25
11904;3400;Rivas;33.9;5;;1;33,9
11905;3401;San Pedro;50.53;5;;1;50,53
11906;3402;Platanares;74.54;5;;1;74,54
11907;3403;Pejibaye;24.82;5;;1;24,82
11908;3404;Cajón;87.52;5;;1;87,52
11909;3406;Barú;15.02;5;;1;15,02
11910;3405;Río Nuevo;27.58;5;;1;27,58
11911;3407;Páramo;65.25;5;;1;65,25
20102;3415;San José;3696.21;5;;1;3 696,21
20103;3417;Carrizal;582.6;5;;1;582,6
20104;3418;San Antonio;3726.62;5;;1;3 726,62
20105;3419;Guácima;990.92;5;;1;990,92
20106;3420;San Isidro;675.82;5;;1;675,82
20107;3421;Sabanilla;328.16;5;;1;328,16
