codigo_pcd,nom_es,label_value
10101,Carmen,3449
10102,Merced,13122
10111,San Sebastián,40525
10201,Escazú,11884
10202,San Antonio,20733
10203,San Rafael,21990
10301,Desamparados,33114
10302,San Miguel,28310
10303,San Juan de Dios,16930
10304,San Rafael Arriba,13215
10305,San Antonio,9565
10306,Frailes,3462
10307,Patarrá,11435
10308,San Cristobal,3426
10309,Rosario,2699
10310,Damas,12154
10311,San Rafael Abajo,21435
10103,Hospital,21318
10312,Gravilias,15012
10313,Los Guido,18647
10401,Santiago,10603
10402,Mercedes Sur,5210
10403,Barbacoas,3263
10404,Grifo Alto,1148
10405,San Rafael,1662
10406,Candelarita,1387
10407,Desamparaditos,658
10408,San Antonio,3239
10409,Chires,2884
10501,San Marcos,8535
10502,San Lorenzo,3945
10503,San Carlos,1614
10601,Aserrí,23746
10602,Tarbaca,1279
10603,Vuelta de Jorco,5713
10104,Catedral,15197
10105,Zapote,19896
10106,San Francisco de Dos Ríos,21128
10107,Uruca,29043
10108,Mata Redonda,9322
10109,Pavas,70403
10110,Hatillo,50660
10604,San Gabriel,4992
10605,Legua,1373
10606,Monterrey,478
10607,Salitrillos,11219
10701,Colón,13220
10702,Guayabo,3252
10703,Tabarcia,3207
10704,Piedras Negras,364
10705,Picagres,720
10706,Jaris,953
10707,Quitirrisí,1842
10801,Guadalupe,22293
10802,San Francisco,2243
10803,Calle Blancos,19220
10804,Mata de Plátano,16357
10805,Ipís,24828
10806,Rancho Redondo,2414
10807,Purral,25385
10901,Santa Ana,9934
10902,Salitral,3781
10903,Pozos,12173
10904,Uruca,6280
10905,Piedades,7280
10906,Brasil,2145
11003,San Antonio,3785
11004,Concepción,17309
11005,San Felipe,26348
11101,San Isidro,15263
11102,San Rafael,6376
11103,Dulce Nombre de Jesús,8900
11104,Patalillo,17873
11105,Cascajal,6118
11201,San Ignacio,7586
11202,Guaitil,2305
11203,Palmichal,3925
11204,Cangrejal,1758
11205,Sabanillas,2287
11301,San Juan,24654
11304,León XIII,14369
